Producto;CONSUMO X CAPITA;VALOR (Miles Euros);Fecha
TOTAL PASTAS;0.35567447174854;30698.352300000002;01/04/2018
LEGUMBRES;0.27785455139096;25364.6731;01/04/2018
TOTAL ACEITE;1.02762356808415;142020.09659;01/04/2018
TOTAL VINOS;0.63667048975535;82829.5;01/04/2018
CERVEZAS;1.48710233016697;87026.71;01/04/2018
SIDRAS;0.01415550150477;1458.201;01/04/2018
T.BEBIDAS ESPIRITUOSA;0.05185439689101;25651.01;01/04/2018
TOTAL PATATAS;2.3657138471471;88040.227;01/04/2018
T.HORTALIZAS FRESCAS;5.03954032578534;403938.456;01/04/2018
T.FRUTAS FRESCAS;7.20618457911286;529178.3551;01/04/2018
BEBIDAS REFRESCANTES;2.99480352642057;118744.149;01/04/2018
T.HUEVOS KGS;0.70625475824094;74488.4825;01/05/2018
TOTAL CARNE;3.78601480087768;1134955.581;01/05/2018
CARNE CERTIFICADA;0.26417722250126;125810.9;01/05/2018
CARNE FRESCA;2.75819278409538;746440.037;01/05/2018
CARNE CONGELADA;0.08340221054694;16050.056;01/05/2018
CARNE TRANSFORMADA;0.94441980623535;372465.488;01/05/2018
PESCADOS;1.10572624964419;375888.078;01/05/2018
PESCADOS FRESCOS;0.90301992583622;306550.046;01/05/2018
PESCADOS CONGELADOS;0.20270632380797;69338.032;01/05/2018
TOTAL LECHE LIQUIDA;5.87554234258539;185428.4611;01/05/2018
PAN;2.70472437235848;296416.938;01/05/2018
BOLL.PAST.GALLET.CERE;1.10766719641444;214528.44416299998;01/05/2018
ARROZ;0.32308894735786;24141.81;01/05/2018
TOTAL PASTAS;0.3512470261089;29640.4048;01/05/2018
LEGUMBRES;0.24491144207154;20892.6581;01/05/2018
TOTAL ACEITE;0.96717188336353;130882.00259999999;01/05/2018
TOTAL VINOS;0.62950175082556;77586.3;01/05/2018
CERVEZAS;1.53051600976351;88433.95;01/05/2018
SIDRAS;0.01938300518793;2066.215;01/05/2018
T.BEBIDAS ESPIRITUOSA;0.05426336315236;26161.49;01/05/2018
TOTAL PATATAS;2.31623541397768;89499.675;01/05/2018
T.HORTALIZAS FRESCAS;4.98769046509998;402871.851;01/05/2018
T.FRUTAS FRESCAS;7.71991780856385;584041.181;01/05/2018
BEBIDAS REFRESCANTES;2.96429180186065;118590.67;01/05/2018
T.HUEVOS KGS;0.7015551921978;73965.9951;01/06/2018
TOTAL CARNE;3.7150834348999;1124391.2873;01/06/2018
CARNE CERTIFICADA;0.59905110068681;217539.6;01/06/2018
CARNE FRESCA;2.6711239585112;730807.078;01/06/2018
CARNE CONGELADA;0.08268205393122;16436.423;01/06/2018
CARNE TRANSFORMADA;0.96127742245747;377147.78630000004;01/06/2018
PESCADOS;1.08454427075514;366265.51;01/06/2018
PESCADOS FRESCOS;0.89258289455447;304367.898;01/06/2018
PESCADOS CONGELADOS;0.19196137620067;61897.612;01/06/2018
TOTAL LECHE LIQUIDA;5.70250266356218;180205.91259999998;01/06/2018
PAN;2.61562737635142;283870.223;01/06/2018
BOLL.PAST.GALLET.CERE;1.04539070270172;205703.36408;01/06/2018
